Field of View,Cell ID,X,Y,Region
0,1,1305.7,414.98,Cortex
0,2,669.51,457.53,Cortex
0,3,1185.9,507.11,Cortex
0,4,710.24,533.06,Cortex
0,5,763.87,569.15,Cortex
0,6,1142.4,742.97,Cortex
0,7,957.71,755.66,Cortex
0,8,1725.4,764.51,Cortex
0,9,806.56,828.27,Cortex
0,10,1800.1,854.41,Cortex
0,11,1886,844.88,Cortex
0,12,950.97,863.93,Cortex
0,13,593.51,884.54,Cortex
0,14,1596.5,918.18,Cortex
0,15,1021.4,931.14,Cortex
0,16,1696,944.12,Cortex
0,17,391.16,972.08,Cortex
0,18,597.81,1001.1,Cortex
0,19,1865.2,1009.6,Cortex
0,20,469.54,1022.3,Cortex
0,21,1636.6,1029.2,Cortex
0,22,344.12,1041,Cortex
0,23,1293.3,1054.1,Cortex
0,24,1378.9,1066.2,Cortex
0,25,1594.2,1108.4,Cortex
0,26,822.23,1124.2,Cortex
0,27,560.36,1123.7,Cortex
0,28,742.3,1134.5,Cortex
0,29,1751.6,1133.9,Cortex
0,30,668.36,1165,Cortex
0,31,241.57,1236.5,Cortex
0,32,624.11,1246.1,Cortex
0,33,103.12,1244.6,Cortex
0,34,449.39,1248.8,Cortex
0,35,1342.6,1294.3,Cortex
0,36,407.86,1342.5,Cortex
0,37,894.7,1428.8,Cortex
0,38,1272.8,1436.4,Cortex
0,39,1363.8,1434.1,Cortex
0,40,421.27,1481.6,Cortex
0,41,271.42,1493.4,Cortex
0,42,1069,1515.1,Cortex
0,43,426.59,1586.4,Cortex
0,44,669.71,1629.6,Cortex
0,45,782.61,1687.7,Cortex
0,46,228.25,1698.9,Cortex
0,47,442.86,1692.8,Cortex
0,48,973.21,1705.6,Cortex
0,49,1201.2,1726,Cortex
0,50,854.77,1725.6,Cortex
0,51,855.84,122.03,Cortex
0,52,469.57,208.95,Cortex
0,53,1090.2,215.81,Cortex
0,54,267.56,245.42,Cortex
0,55,981.25,261.05,Cortex
0,56,390.59,277.05,Cortex
0,57,1117,312.56,Cortex
0,58,520.51,359.75,Cortex
0,59,980.24,382.43,Cortex
0,60,799.96,389.1,Cortex
0,61,527.31,538.48,Cortex
0,62,621.1,564.33,Cortex
0,63,571.13,677.51,Cortex
0,64,1458,207.93,Cortex
0,65,1738.7,244.68,Cortex
0,66,1561.7,242,Cortex
0,67,1319.2,234.32,Cortex
0,68,1875.4,249.56,Cortex
0,69,1428.9,334.44,Cortex
0,70,152.2,367.61,Cortex
0,71,334.16,397.61,Cortex
0,72,1623.4,414.97,Cortex
0,73,228.45,471.04,Cortex
0,74,1829.6,471.16,Cortex
0,75,1741.8,490.58,Cortex
0,76,1418.1,480.91,Cortex
0,77,363.87,495.87,Cortex
0,78,291.89,554.35,Cortex
0,79,1745,572.24,Cortex
0,80,1617.6,580.99,Cortex
0,81,1238,597.74,Cortex
0,82,1875.9,589.25,Cortex
0,83,402.8,589.35,Cortex
0,84,238.72,602.18,Cortex
0,85,1298.3,606.25,Cortex
0,86,1401,619.94,Cortex
0,87,312.93,632.17,Cortex
0,88,448.36,646.88,Cortex
0,89,699.92,689.47,Cortex
0,90,1923.8,695.5,Cortex
0,91,370.94,707.28,Cortex
0,92,781.88,748.95,Cortex
0,93,191.29,802.62,Cortex
0,94,1960,814.15,Cortex
0,95,739.38,818.87,Cortex
0,96,374.81,836.35,Cortex
0,97,1502.4,839,Cortex
0,98,266,875.11,Cortex
0,99,1357.2,890.97,Cortex
0,100,446.9,904.75,Cortex
0,101,1308.9,937.98,Cortex
0,102,745.68,922.15,Cortex
0,103,1460.8,940.49,Cortex
0,104,799.79,982.66,Cortex
0,105,996.9,1054.7,Cortex
0,106,886.81,1056.5,Cortex
0,107,1198.5,1077.4,Cortex
0,108,113.16,1090.7,Cortex
0,109,280.75,1107.6,Cortex
0,110,1444,1139.5,Cortex
0,111,234.96,1152.6,Cortex
0,112,404.65,1155.9,Cortex
